NewMetName	Charged formula	Charge	compartment	KEGG ID	CHEBI ID	Remark
ferrocytochrome c [mitochondrial intermembrane space]		0	mitochondrial intermembrane space	C00126	CHEBI:16928	
ferricytochrome c [mitochondrial intermembrane space]		0	mitochondrial intermembrane space	C00125	CHEBI:15991	
Apocytochrome c [mitochondrial intermembrane space]	C6H10N2O2S2	0	mitochondrial intermembrane space	C02248	CHEBI:15697	
H+ [mitochondrial intermembrane space]	H	1	mitochondrial intermembrane space	C00080	CHEBI:24636	based on chebi
(S)-lactate [mitochondrial intermembrane space]	C3H5O3	-1	mitochondrial intermembrane space	C00186	CHEBI:16651	based on chebi
pyruvate [mitochondrial intermembrane space]	C3H3O3	-1	mitochondrial intermembrane space	C00022	CHEBI:15361	based on chebi
ubiquinone-6 [mitochondrial inner membrane]	C39H58O4	0	mitochondrial membrane	C17568	CHEBI:52971	based on chebi
glycerol 3-phosphate [mitochondrial intermembrane spce]	C3H7O6P	-2	mitochondrial intermembrane space	C00093	CHEBI:57597	based on chebi
ubiquinol-6 [mitochondrial inner membrane]	C39H60O4	0	mitochondrial membrane	C00390	CHEBI:52970	based on chebi
dihydroxyacetone phosphate [mitochondrial intermembrane space]	C3H5O6P	-2	mitochondrial intermembrane space	C00111	CHEBI:57642	based on chebi
hydrogen peroxide [mitochondrial intermembrane space]	H2O2	0	mitochondrial intermembrane space	C00027	CHEBI:16240	based on chebi
H2O [mitochondrial intermembrane space]	H2O	0	mitochondrial intermembrane space	C00001	CHEBI:15377	based on chebi
glutathione [mitochondrial intermembrane space]	C10H16N3O6S	-1	mitochondrial intermembrane space	C00051	CHEBI:57925	based on chebi
glutathione disulfide [mitochondrial intermembrane space]	C20H30N6O12S2	-2	mitochondrial intermembrane space	C00127	CHEBI:58297	based on chebi
NADPH [mitochondrial intermembrane space]	C21H26N7O17P3	-4	mitochondrial intermembrane space	C00005	CHEBI:57783	based on chebi
TRX1 disulphide [mitochondrial intermembrane space]	C6H9NO2S2R2	0	mitochondrial intermembrane space	C00342	CHEBI:15967	based on chebi
NADP(+) [mitochondrial intermembrane space]	C21H25N7O17P3	-3	mitochondrial intermembrane space	C00006	CHEBI:58349	based on chebi
TRX1 [mitochondrial intermembrane space]	C6H8N2O2S2R4	0	mitochondrial intermembrane space	C00343	CHEBI:18191	based on chebi
carbon dioxide [mitochondrial intermembrane space]	CO2	0	mitochondrial intermembrane space	C00011	CHEBI:16526	based on chebi
bicarbonate [mitochondrial intermembrane space]	CHO3	-1	mitochondrial intermembrane space	C00288	CHEBI:17544	based on chebi
superoxide [mitochondrial intermembrane space]	O2	0	mitochondrial intermembrane space	C00007	CHEBI:15379	based on chebi
oxygen [mitochondrial intermembrane space]	O2	-1	mitochondrial intermembrane space	C00704	CHEBI:18421	based on chebi
(R)-lactate [mitochondrial intermembrane space]	C3H5O3	-1	mitochondrial intermembrane space	C00256	CHEBI:16004	based on kegg
ferroheme b [mitochondrial intermembrane space]	C34H30FeN4O4	-2	mitochondrial intermembrane space	C00032	CHEBI:60344	based on chebi
ferroheme b [cytoplasm]	C34H30FeN4O4	-2	cytoplasm	C00032	CHEBI:60344	based on chebi
heme a [mitochondrial intermembrane space]	C49H56FeN4O6	0	mitochondrial intermembrane space	C15670	CHEBI:24479	based on chebi
