NewMetName	Charged formula	Charge	compartment	KEGG ID	CHEBI ID	Remark
tRNA(Gln) [mitochondrion]	R	0	mitochondrion	C01640	CHEBI:29168	based on chebi
Gln-tRNA(Gln) [mitochondrion]	C20H29N7O12PR	0	mitochondrion	C02282	CHEBI:29166	based on kegg
dethiobiotin [mitochondrion]	C10H18N2O3	0	mitochondrion	C01909	CHEBI:16691	based on kegg and Rhea
S-adenosyl-L-methionine [mitochondrion]	C15H23N6O5S	1	mitochondrion	C00019	CHEBI:59789	based on kegg and Rhea
reduced ferredoxin [mitochondrion]	Fe2S2R	1	mitochondrion	C00138	CHEBI:17513	based on metnx
oxidized ferredoxin [mitochondrion]	Fe2S2R	2	mitochondrion	C00139	CHEBI:17908	based on metnx
biotin [mitochondrion]	C10H15N2O3S	-1	mitochondrion	C00120	CHEBI:57586	based on kegg and Rhea
tRNA(Ala) [mitochondrion]	R	0	mitochondrion	C01635	CHEBI:29170	based on kegg
Ala-tRNA(Ala) [mitochondrion]	C3H6NOR	0	mitochondrion	C00886	CHEBI:17732	based on kegg
tRNA(Gly) [mitochondrion]	R	0	mitochondrion	C01642	CHEBI:29176	based on kegg
Gly-tRNA(Gly) [mitochondrion]	C2H4NOR	0	mitochondrion	C02412	CHEBI:29156	based on kegg
Apo-[acyl-carrier-protein] [mitochondrion]	X	0	mitochondrion	C03688	CHEBI:16139	based on kegg
(R)-pantoate [mitochondrion]	C6H11O4	-1	mitochondrion	C00522	CHEBI:15980	based on kegg
tRNA(Cys) [mitochondrion]	R	0	mitochondrion	C01639	CHEBI:29167	based on kegg
Cys-tRNA(Cys) [mitochondrion]	C3H6NOSR	0	mitochondrion	C03125	CHEBI:29152	based on kegg
tRNA(Ser) [mitochondrion]	R	0	mitochondrion	C01650	CHEBI:29179	based on kegg
Ser-tRNA(Ser) [mitochondrion]	C3H6NO2R	0	mitochondrion	C02553	CHEBI:29162	based on kegg
ISU scaffold protein [mitochondrion]	H4S4R	0	mitochondrion			general type
ISU scaffold protein-[2Fe-2S] [mitochondrion]	Fe2S6R	-2	mitochondrion			general type
[2Fe-2S] iron-sulfur cluster [mitochondrion]	Fe2S2	2	mitochondrion		CHEBI:33737	based on chebi
(Grx5 transfer protein)-SH [mitochondrion]	SHR	0	mitochondrion			general type
(Grx5 transfer protein dimer)-[2Fe-2S] [mitochondrion]	Fe2S4R2	-2	mitochondrion			general type
(Isa saffold complex)-SH [mitochondrion]	H6S6R2	0	mitochondrion			general type
(Isa scaffold complex)-(Grx5)2-[2Fe2S]2 [mitochondrion]	Fe4S12R4	-4	mitochondrion			general type
(Isa scaffold complex)-[4Fe4S] [mitochondrion]	H2Fe4S10R2	-2	mitochondrion			general type
[4Fe-4S] iron-sulfur cluster [mitochondrion]	Fe4S4	2	mitochondrion		CHEBI:33722	based on chebi
[3Fe-4S] iron-sulfur cluster [mitochondrion]	Fe3S4	0	mitochondrion		CHEBI:47402	based on chebi
[4Fe-4S] iron-sulfur cluster [cytoplasm]	Fe4S4	2	cytoplasm		CHEBI:33722	based on chebi
[2Fe-2S] iron-sulfur cluster [cytoplasm]	Fe2S2	2	cytoplasm		CHEBI:33737	based on chebi
(R)-lipoate [mitochondrion]	C8H13O2S2	-1	mitochondrion	C16241	CHEBI:83088	based on chebi
O-propionyl-carnitine [cytoplasm]	C10H19NO4	0	cytoplasm	C03017	CHEBI:28867	based on chebi
O-propionyl-carnitine [mitochondrion]	C10H19NO4	0	mitochondrion	C03017	CHEBI:28867	based on chebi
folate [mitochondron]	C19H17N7O6	-2	mitochondrion	C00504	CHEBI:62501	based on chebi
TRX3 [mitochondrion]	C6H9NO2S2R2	0	mitochondrion	C00342	CHEBI:15967	based on chebi
TRX3 disulphide [mitochondrion]	C6H8N2O2S2R4	0	mitochondrion	C00343	CHEBI:18191	based on chebi
mercaptopyruvate [mitochondrion]	C3H3O3S	-1	mitochondrion	C00957	CHEBI:57678	based on chebi
octanoate (protein bound) [mitochondrion]	C8H15O	1	mitochondrion			based on metanetx
ACP1 [mitochondrion]	C11H21N2O7PRS	-1	mitochondrion	C00229	CHEBI:18359	based on chebi
octanoyl-ACP [mitochondrion]	C19H35N2O8PRS	-1	mitochondrion	C05752	CHEBI:7725	based on metanetx
lipoate (protein bound) [mitochondrion]	C8H13OS2	1	mitochondrion			based on metanetx
biotin (protein bound) [cytoplasm]	C10H13N2O2S	0	cytoplasm			general type
hydrogen cyanide [cytoplasm]	CHN	0	cytoplasm	C01326	CHEBI:18407	based on metnx
thiosulfate [cytoplasm]	HO3S2	-1	cytoplasm	C00320	CHEBI:33541	based on chebi
thiocyanate [cytoplasm]	CHNS	0	cytoplasm	C01755	CHEBI:29200	based on chebi
[3Fe-4S] iron-sulfur cluster [cytoplasm]	Fe3S4	0	cytoplasm		CHEBI:47402	based on chebi
